PassengerId,Survived
892,0
894,1
895,0
897,0
899,0
901,0
902,1
903,0
905,1
908,0
909,1
912,0
913,1
915,1
917,1
919,1
920,0
921,0
922,1
923,0
926,0
927,0
930,1
931,1
932,1
933,0
934,1
937,0
938,1
939,1
942,1
943,0
946,1
947,0
948,0
949,0
950,1
952,0
953,1
954,0
956,0
959,0
960,0
963,1
965,1
967,0
968,0
970,1
972,1
973,0
974,0
975,0
976,1
977,1
981,1
983,1
985,0
986,0
987,0
989,1
991,1
993,0
994,1
995,1
997,0
998,1
999,1
1000,0
1001,0
1002,1
1007,1
1008,1
1010,0
1013,0
1015,1
1016,0
1018,0
1020,1
1021,0
1022,0
1023,0
1025,0
1026,0
1027,0
1028,0
1029,0
1031,0
1034,0
1035,0
1036,0
1037,0
1038,1
1039,1
1040,0
1041,0
1043,0
1044,0
1046,0
1047,1
1050,0
1053,1
1055,1
1056,0
1058,0
1059,0
1062,1
1063,1
1064,0
1065,1
1066,0
1069,1
1072,1
1073,1
1075,1
1077,1
1079,0
1081,0
1082,1
1083,0
1084,1
1085,0
1086,0
1087,1
1088,0
1090,0
1093,1
1094,0
1096,0
1097,0
1099,0
1101,0
1102,0
1103,1
1104,0
1107,0
1109,0
1111,0
1113,0
1115,1
1118,0
1120,0
1121,0
1122,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1134,0
1135,1
1136,0
1137,1
1139,1
1143,0
1144,0
1145,1
1146,1
1147,0
1148,1
1149,0
1151,0
1152,1
1153,0
1156,0
1157,1
1158,0
1159,1
1161,1
1162,0
1163,1
1166,1
1168,0
1169,0
1170,0
1171,1
1173,1
1177,0
1178,1
1179,1
1180,1
1181,0
1182,1
1184,1
1185,1
1186,0
1187,1
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1198,0
1199,1
1200,0
1202,1
1203,1
1204,0
1208,0
1209,0
1210,0
1211,1
1212,0
1213,0
1214,1
1215,0
1217,1
1219,0
1220,0
1221,0
1223,0
1224,1
1226,1
1227,0
1228,1
1229,0
1230,1
1231,1
1232,1
1233,0
1234,1
1236,0
1238,0
1240,0
1243,0
1244,0
1245,0
1247,0
1249,0
1250,1
1252,0
1255,1
1258,0
1261,1
1262,0
1264,0
1265,1
1269,1
1270,1
1271,1
1272,0
1273,0
1276,1
1278,0
1279,0
1280,0
1281,1
1282,0
1284,1
1285,0
1286,0
1288,0
1290,0
1291,0
1293,0
1295,0
1296,1
1297,0
1298,0
1299,0
1305,1
1307,0
1308,0
1309,0
893,0
896,0
898,0
900,0
904,0
906,1
907,1
910,0
911,0
914,1
916,0
918,1
924,0
925,0
928,0
929,0
935,1
936,0
940,0
941,0
944,0
945,0
951,0
955,0
957,0
958,0
961,0
962,0
964,0
966,0
969,1
971,0
978,0
979,1
980,1
982,0
984,1
988,0
990,1
992,1
996,0
1003,1
1004,0
1005,1
1006,0
1009,1
1011,0
1012,1
1014,1
1017,1
1019,0
1024,0
1030,0
1032,0
1033,0
1042,0
1045,0
1048,0
1049,1
1051,0
1052,1
1054,0
1057,0
1060,0
1061,1
1067,0
1068,0
1070,0
1071,0
1074,0
1076,0
1078,0
1080,0
1089,0
1091,1
1092,0
1095,0
1098,1
1100,0
1105,1
1106,0
1108,1
1110,0
1112,1
1114,1
1116,0
1117,1
1119,1
1123,0
1130,0
1131,1
1132,0
1133,0
1138,0
1140,0
1141,1
1142,1
1150,0
1154,1
1155,1
1160,0
1164,0
1165,1
1167,0
1172,0
1174,1
1175,0
1176,1
1183,1
1188,0
1196,1
1197,0
1201,0
1205,0
1206,0
1207,0
1216,0
1218,0
1222,0
1225,1
1235,0
1237,0
1239,0
1241,0
1242,0
1246,0
1248,0
1251,0
1253,0
1254,1
1256,1
1257,1
1259,0
1260,1
1263,1
1266,0
1267,1
1268,0
1274,0
1275,0
1277,0
1283,0
1287,0
1289,0
1292,0
1294,1
1300,1
1301,1
1302,1
1303,0
1304,0
1306,0
