PassengerId,Survived
892,0
894,0
895,0
897,0
899,1
901,0
902,1
903,0
905,0
908,0
909,0
912,0
913,1
915,0
917,1
919,1
920,0
921,0
922,0
923,1
926,0
927,0
930,1
931,0
932,1
933,0
934,1
937,0
938,0
939,0
942,0
943,0
946,1
947,1
948,0
949,0
950,1
952,1
953,0
954,0
956,0
959,0
960,0
963,1
965,1
967,0
968,0
970,0
972,1
973,0
974,0
975,0
976,1
977,1
981,0
983,0
985,0
986,0
987,0
989,1
991,0
993,0
994,0
995,1
997,0
998,1
999,1
1000,0
1001,0
1002,1
1007,1
1008,0
1010,1
1013,0
1015,1
1016,0
1018,0
1020,1
1021,0
1022,1
1023,0
1025,0
1026,0
1027,0
1028,0
1029,0
1031,1
1034,1
1035,1
1036,0
1037,1
1038,0
1039,1
1040,0
1041,0
1043,0
1044,1
1046,0
1047,1
1050,0
1053,1
1055,0
1056,0
1058,0
1059,1
1062,0
1063,0
1064,0
1065,0
1066,0
1069,0
1072,1
1073,1
1075,1
1077,1
1079,0
1081,0
1082,1
1083,0
1084,1
1085,1
1086,0
1087,1
1088,0
1090,0
1093,1
1094,0
1096,1
1097,0
1099,0
1101,0
1102,0
1103,1
1104,0
1107,0
1109,0
1111,0
1113,0
1115,1
1118,0
1120,1
1121,1
1122,1
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1134,0
1135,1
1136,0
1137,0
1139,1
1143,0
1144,0
1145,1
1146,1
1147,0
1148,1
1149,1
1151,0
1152,1
1153,0
1156,0
1157,1
1158,0
1159,0
1161,1
1162,1
1163,0
1166,0
1168,0
1169,0
1170,0
1171,1
1173,1
1177,0
1178,1
1179,1
1180,0
1181,0
1182,1
1184,0
1185,1
1186,0
1187,1
1189,0
1190,1
1191,0
1192,0
1193,0
1194,0
1195,0
1198,0
1199,0
1200,0
1202,1
1203,0
1204,1
1208,1
1209,0
1210,0
1211,1
1212,0
1213,0
1214,1
1215,0
1217,1
1219,0
1220,0
1221,0
1223,0
1224,1
1226,1
1227,0
1228,1
1229,0
1230,1
1231,0
1232,1
1233,0
1234,1
1236,0
1238,1
1240,1
1243,0
1244,1
1245,0
1247,0
1249,0
1250,1
1252,0
1255,0
1258,0
1261,0
1262,0
1264,0
1265,1
1269,1
1270,1
1271,1
1272,0
1273,0
1276,0
1278,0
1279,1
1280,0
1281,1
1282,1
1284,1
1285,0
1286,0
1288,0
1290,0
1291,0
1293,0
1295,0
1296,1
1297,0
1298,0
1299,0
1305,1
1307,1
1308,0
1309,0
893,0
896,0
898,1
900,0
904,1
906,0
907,1
910,1
911,0
914,1
916,0
918,0
924,0
925,0
928,1
929,0
935,1
936,1
940,0
941,0
944,0
945,1
951,0
955,0
957,0
958,1
961,0
962,0
964,0
966,0
969,1
971,0
978,0
979,0
980,0
982,0
984,0
988,0
990,1
992,1
996,0
1003,0
1004,0
1005,1
1006,0
1009,0
1011,0
1012,1
1014,1
1017,1
1019,0
1024,0
1030,0
1032,0
1033,0
1042,0
1045,0
1048,1
1049,1
1051,0
1052,1
1054,0
1057,0
1060,0
1061,1
1067,0
1068,0
1070,1
1071,0
1074,0
1076,0
1078,0
1080,0
1089,0
1091,0
1092,0
1095,0
1098,1
1100,0
1105,0
1106,0
1108,1
1110,0
1112,1
1114,1
1116,0
1117,0
1119,0
1123,1
1130,0
1131,1
1132,0
1133,0
1138,1
1140,0
1141,1
1142,1
1150,0
1154,1
1155,1
1160,0
1164,1
1165,1
1167,0
1172,0
1174,1
1175,0
1176,0
1183,1
1188,1
1196,1
1197,0
1201,0
1205,0
1206,0
1207,0
1216,1
1218,1
1222,0
1225,1
1235,0
1237,0
1239,0
1241,0
1242,0
1246,1
1248,0
1251,0
1253,0
1254,1
1256,0
1257,1
1259,0
1260,0
1263,1
1266,0
1267,1
1268,0
1274,0
1275,0
1277,0
1283,0
1287,1
1289,1
1292,1
1294,1
1300,1
1301,0
1302,1
1303,0
1304,0
1306,0
